ID,x1,x2
0,5.044332434,-2.162748838
1,3.76463549,-0.160114823
2,3.355657891,7.022023968
3,5.593490423,-2.432005767
4,-9.176125723,8.133278968
5,0.266409976,4.191385695
6,-6.671195403,6.62907243
7,-8.202984719,6.133918583
8,2.121702332,5.683469406
9,5.627288946,-3.379060521
10,4.130834723,-2.012104091
11,2.322344399,3.032313255
12,-7.608989153,5.771468333
13,4.572432754,-2.775451078
14,-8.356400576,3.812658949
15,1.078518634,6.983573119
16,0.699258438,6.241059035
17,0.203994014,3.239178224
18,0.602853313,2.995360697
19,-6.881512563,6.695693952
20,1.796294252,7.021186909
21,3.641381972,-0.761612857
22,-5.983613838,6.705910845
23,2.74584105,-3.811940856
24,5.032751857,-2.290905724
25,4.85407274,-6.05164212
26,-1.817283279,7.05598912
27,5.558512887,-2.380695283
28,1.449617174,4.509852681
29,1.168642086,3.318029805
30,1.143203894,5.229886626
31,-0.470299362,6.249295541
32,4.468705044,-3.033957218
33,5.158568922,-5.29373851
34,3.0707026,-1.163320923
35,5.319957498,-6.038105663
36,5.952650711,-3.155670503
37,-0.635593113,3.891207705
38,-2.296025161,6.232956714
39,0.612615062,4.69487794
40,3.816000801,-3.917853862
41,-1.233509321,3.802586116
42,-8.806194556,5.418786295
43,-6.192649699,6.704903074
44,0.366319114,2.471027581
45,-0.115250823,6.811073306
46,5.181844553,-3.956673721
47,1.728124077,8.67932982
48,-2.232581282,5.625818506
49,4.230402598,8.264999425
50,-7.590643633,5.693316967
51,0.997320326,6.182692361
52,3.302834618,-2.569862165
53,-0.105132514,3.143640124
54,-0.552502824,2.689588485
55,3.833447506,2.500535046
56,-1.095664691,3.1184945
57,-6.359818915,10.14824663
58,0.592932141,3.257906676
59,-7.034080753,5.762327895
60,-10.24912181,6.099642734
61,-0.023984529,3.983382727
62,-9.208097255,8.369115007
63,0.978488067,3.76623133
64,-1.85551991,4.908933804
65,5.161196179,-1.906848629
66,2.065866292,5.495925917
67,1.534173458,4.379117899
68,2.998368747,5.622080047
69,2.970040964,4.248032724
70,-9.396520884,7.083547234
71,-8.203272843,8.395863006
72,-1.256698835,3.612216829
73,3.77487904,-0.460306229
74,2.628788308,-1.055509313
75,4.638239781,-4.607658666
76,-6.233953172,3.788385237
77,1.138816881,4.665636055
78,6.489190913,-6.562000385
79,3.019517009,2.105641034
80,-0.896816424,2.499998334
81,-0.0469907,7.910026421
82,-5.057533726,5.516019964
83,5.099387998,2.861273218
84,-6.722456498,6.35785951
85,-0.231198808,5.861652962
86,-5.591358683,6.072599094
87,-5.528476032,5.668401539
88,1.720184437,2.143309914
89,1.010158001,4.825685732
90,0.766311195,3.845074104
91,-7.518758366,8.667834213
92,0.67943477,2.977250746
93,3.028992474,8.052664017
94,-7.161249403,3.735093463
95,6.808380363,-4.031608189
96,-9.024078975,7.346943503
97,1.88825491,6.165955154
98,1.938124238,1.257077084
99,-7.500702722,7.065763118
100,-0.938365086,4.26173427
