ID,x1,x2
0,0.547534454,0.813707584
1,1.93896578,0.301661647
2,1.000914095,-0.055686103
3,0.103482955,0.320916126
4,0.969247126,-0.509859878
5,0.294666611,0.926223582
6,1.852781025,-0.013750377
7,0.694074825,-0.413551415
8,1.027457355,-0.498549925
9,-0.534742614,0.85816317
10,0.995803671,-0.0897825
11,0.040918153,0.343611776
12,0.056486919,0.287749295
13,-0.402640752,0.977513045
14,-0.672419088,0.459175017
15,0.921306394,0.308597712
16,1.385102369,-0.340335594
17,-0.00133862,0.206967027
18,0.423184319,1.009901767
19,0.190540006,0.022175722
20,1.95273813,-0.147230699
21,1.989571261,0.381656509
22,0.453218994,-0.400013755
23,-0.876208069,0.533393035
24,1.677945046,-0.30712454
25,1.087927473,-0.451243963
26,1.668831682,-0.300804361
27,0.608741838,-0.470894581
28,-0.126634267,0.957846131
29,-0.543785518,0.834038219
30,1.671641242,-0.285251351
31,-0.420366098,0.922778757
32,-0.463197119,0.938081539
33,0.947346616,0.479683653
34,-0.920021659,0.147287836
35,-0.422818283,1.095668807
36,-1.068980297,0.233534027
37,0.530986861,0.970934031
38,0.603757048,0.696487696
39,0.301698119,-0.210092555
40,0.613760713,0.551189822
41,0.454765598,-0.219318527
42,-0.843741608,0.882104888
43,1.256938898,-0.566117033
44,0.854828181,0.173174064
45,0.827385289,0.339334345
46,-0.874509738,0.552420263
47,0.893647213,0.434894098
48,1.352612655,-0.401357707
49,-0.175403377,0.518148453
50,0.089496379,0.429718597
51,2.043836945,0.437690036
52,1.498740813,-0.330068275
53,0.323074307,0.964733047
54,0.759696459,-0.569263933
55,0.652873211,-0.668568201
56,0.681879102,-0.377192912
57,1.953743716,0.419750125
58,0.118421931,0.321732961
59,-0.150343533,0.418536917
60,0.025216031,0.205491522
61,0.054223847,0.007280985
62,-0.685234142,0.632672736
63,1.464214786,-0.396275759
64,-0.000504634,0.933008538
65,0.88816142,0.51096992
66,0.811323496,0.490915382
67,0.03203426,0.288647214
68,0.354346308,-0.215315956
69,-0.221434505,0.934617534
70,-0.981270381,0.148858956
71,0.609540554,-0.422946132
72,-0.683527607,0.839105862
73,0.097450389,0.990412919
74,0.519956909,-0.501332217
75,1.275933221,-0.485662481
76,0.039540104,0.574869388
77,0.147846694,0.12599741
78,-0.739186115,0.75626748
79,0.455338165,0.895179107
80,0.841710007,0.767511257
81,-0.854394893,0.555483479
82,0.700375426,-0.279616941
83,-0.141722716,0.947589661
84,-0.106891112,0.391937177
85,-0.349210975,0.81256785
86,0.859700243,0.398492132
87,-0.745517091,0.661981023
88,1.134942598,0.206280849
89,0.822214473,0.610035577
90,-0.823864985,0.666916689
91,0.946903188,0.280338557
92,-0.415998416,0.91608405
93,-0.487388277,0.904199235
94,-0.038217119,0.265616307
95,0.4528301,-0.358872241
96,1.15670745,0.054004119
97,0.809562171,0.63825395
98,0.314775689,-0.093504922
99,-0.280916988,0.955618599
100,-0.415614787,1.023163425
101,0.479338851,0.829869853
102,1.145795698,0.25793993
103,1.534449572,-0.389260871
104,-0.17813356,1.056311761
105,0.910688608,-0.537258
106,0.88286213,-0.411410511
107,-0.556457123,0.692583035
108,0.572295743,0.862033135
109,2.043597786,0.156276104
110,0.572411855,-0.587454854
111,2.086950411,0.271204262
112,-0.800535982,0.654760101
113,-0.182726363,0.084393988
114,1.693629208,-0.166629174
115,1.667300196,-0.275402764
116,0.495994161,-0.561915204
117,1.658783834,-0.275400571
118,-0.335228077,0.945476432
119,-0.147853298,0.989071184
120,0.221431816,-0.068408888
121,2.113297261,0.458065642
122,0.991933494,-0.167860516
123,0.53110626,0.763783925
124,-0.143158502,1.057149563
125,0.343819763,-0.388262678
126,0.824911303,0.261172451
127,-0.114270012,1.00623984
128,-0.710678399,0.801069851
129,0.634434701,-0.61601684
130,1.081518408,0.122976334
131,2.010782431,0.293889769
132,0.513800952,0.47924053
133,1.839070646,-0.004531322
134,0.943637755,0.302253995
135,1.028974743,0.281684715
136,-0.844286427,0.016551042
137,-0.075742117,1.226968268
138,1.987878854,0.334681104
139,1.983653684,0.197723942
140,-1.00580772,0.344408691
141,-0.019529169,0.262688605
142,0.313826939,-0.20805189
143,0.155852624,1.0145078
144,-1.167998806,0.160136252
145,-0.22950436,0.926173346
146,1.78679514,-0.141018267
147,-0.493938339,0.842888704
148,1.004004073,0.349367644
149,0.640880974,-0.460374904
150,-0.494201648,1.052224199
151,1.03089416,-0.399301973
152,0.29213134,-0.294124561
153,1.882620586,0.081032868
154,0.63960367,-0.340613398
155,-0.274965917,0.913040192
156,1.720335077,-0.07525425
157,-0.862712722,0.718723092
158,0.514001626,0.891708777
159,-0.839618508,0.727066416
160,0.186079215,0.10560686
161,-0.932043877,0.367594269
162,-1.136179895,0.040861892
163,1.435347565,-0.122455866
164,0.933112358,-0.04031639
165,-0.510823961,0.99927727
166,1.668407028,-0.239657821
167,0.688195403,-0.585839794
168,-0.696076747,0.756686655
169,1.113026684,-0.526736593
170,1.010603642,-0.403569426
171,-0.900488572,0.430806909
172,0.877684405,0.520013773
173,-0.304443697,0.969147653
174,0.738404174,0.587738584
175,-0.904253781,-0.01289129
176,0.609843234,0.759036229
177,0.795019192,-0.556310814
178,0.890378052,0.370530572
179,1.44796295,-0.447240897
180,1.637893153,-0.135570265
